id_word	id_meaning	id	lemma	morphology	definition	definition_divided	glottocode	reference	language	pos	detected_by	meaning_ru	examples
1	1	1	абадийа́б	(мн. -ла)	(мн. -ла) вечный, бессмертный, непреходящий; абадийаб гIумру вечная жизнь ♦ абадийаб хъохъо загробная жизнь, вечное пристанище, вечный мир; тот свет (букв. вечный дом)	вечный, бессмертный, непреходящий; абадийаб гIумру вечная жизнь ♦ абадийаб хъохъо загробная жизнь, вечное пристанище, вечный мир; тот свет (букв. вечный дом)	hunz1247	Khalilov 2026	Hunzib	adj; expression	spacy_model	вечный	
2	1	2	абадул: абадул абадийалъ		во веки веков, навсегда, на все времена	во веки веков, навсегда, на все времена	hunz1247	Khalilov 2026	Hunzib	adv	spacy_model	навсегда	
3	1	3	абазинав	I (-л, -с, мн. абазинал)	I (-л, -с, мн. абазинал) абазинец	абазинец	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	абазинец	
4	1	4	абазинай	II (-л, -с, мн. абазинал)	II (-л, -с, мн. абазинал) абазинка	абазинка	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	абазинка	
5	1	5	абазинал	мн. (-лил, -лис)	мн. (-лил, -лис) абазинцы; абазиналлис мыц абазинский язык	абазинцы; абазиналлис мыц абазинский язык	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	абазинцы	
6	1	6	абано	III (-лло, -лис, -ва)	III (-лло, -лис, -ва) курорт (сарус.)	курорт (сарус.)	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	курорт	
7	1	7	абашникi	I (-лил, -лис, -ла)	I (-лил, -лис, -ла) лесник, лесничий; алIас абашникI лесник села	лесник, лесничий; алIас абашникI лесник села	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	лесник	
8	1	8	абашни́́кiлъи	IV (-лол, -лос)	IV (-лол, -лос) профессия (должность, работа) лесника (лесничьего); абашникIлъи рува работать лесничьим; абашникIлъилǡ ǝгьдā работать лесником (лесничьим)	профессия (должность, работа) лесника (лесничьего); абашникIлъи рува работать лесничьим; абашникIлъилǡ ǝгьдā работать лесником (лесничьим)	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	лесничество	
9	1	9	аби	III (-лло, -лос, -йа)	III (-лло, -лос, -йа) поговорка; магIарул аби аварская поговорка; гьунзаллис аби гунзибская поговорка; умумаллис аби поговорка предков; см. кици	поговорка; магIарул аби аварская поговорка; гьунзаллис аби гунзибская поговорка; умумаллис аби поговорка предков; см. кици	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	поговорка	
10	1	10	абхазав	I (-л, -с, мн. абхазал)	I (-л, -с, мн. абхазал) абхазец	абхазец	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	абхазец	
11	1	11	абхазай	II (-л, -с, мн. абхазал)	II (-л, -с, мн. абхазал) абхазка	абхазка	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	абхазка	
12	1	12	абхазал	мн. (-лил, -лис)	мн. (-лил, -лис) абхазцы; абхазалалис мыц абхазский язык	абхазцы; абхазалалис мыц абхазский язык	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	абхазцы	
13	1	13	авадан		нареч. весело, жизнерадостно; авадан гIумру бува жить весело; авадан ȧхъа а) стать (быть) веселым, жизнерадостным б) быть (находиться) с кем-либо в хороших взаимоотношениях; проявить дружеское отношение; авадан (й)ува делать веселым (жизнерадостным), развеселить	нареч. весело, жизнерадостно; авадан гIумру бува жить весело; авадан ȧхъа а) стать (быть) веселым, жизнерадостным б) быть (находиться) с кем-либо в хороших взаимоотношениях; проявить дружеское отношение; авадан (й)ува делать веселым (жизнерадостным), развеселить	hunz1247	Khalilov 2026	Hunzib	adv	source	весело	
14	1	14	аваданаб	(мн. -аб)	(мн. -аб) веселый, жизнерадостный; аваданаб мȧче весёлое место; аваданаб сукIу веселый человек (мужчина); аваданаб гIадам веселый человек; веселая женщина; аваданаб гIумру веселая жизнь; аваданаб бȧхъа стать веселым (жизнерадостным); аваданаб ува делать веселым (жизнерадостным); развеселить	веселый, жизнерадостный; аваданаб мȧче весёлое место; аваданаб сукIу веселый человек (мужчина); аваданаб гIадам веселый человек; веселая женщина; аваданаб гIумру веселая жизнь; аваданаб бȧхъа стать веселым (жизнерадостным); аваданаб ува делать веселым (жизнерадостным); развеселить	hunz1247	Khalilov 2026	Hunzib	adj	spacy_model	весёлый	
15	1	15	аваданлъи	IV (-лло, -лос)	IV (-лло, -лос) 1) веселость, веселье; жизнерадостность 2) дружественное взаимоотношение, хорошее взаимоотношение; аваданлъи рува веселиться; развеселить, устроить веселье; аваданлъилкьо беча жить в дружно (в согласии); аваданлъилǡ ло находиться в веселом расположении духа; аваданлъи ругьла расстроить, испортить настроение; прервать хорошие взаимоотношения (веселье)	веселость, веселье; жизнерадостность	hunz1247	Khalilov 2026	Hunzib	noun	spacy_model	веселье	
